,USSR,Burkina Faso,Australia & New Zealand,Australia,Panama,Republic of Korea,Thailand,Belize,Ethiopia,Kenya,Guyana,South Africa,Democratic People's Republic of Korea,Lao People's Democratic Republic,Zambia,Suriname,Albania,Brazil,Paraguay,Serbia,Slovenia,El Salvador,Argentina,Colombia,Timor-Leste,India,Ecuador,Indonesia,Republic of Moldova,Canada,Russian Federation,Ethiopia PDR,Egypt,Malaysia,Latvia,Czechoslovakia,France,Spain,Democratic Republic of the Congo,Nigeria,Mali,Hungary,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,"China, mainland",Madagascar,Peru,Uruguay,Bosnia and Herzegovina,Cameroon,Guatemala,Austria,Bhutan,Philippines,Iraq,Sri Lanka,United Republic of Tanzania,Burundi,Nepal,Czechia,Bangladesh,Italy,Uganda,China,Cambodia,Serbia and Montenegro,Chile,Honduras,Rwanda,Zimbabwe,Gabon,Malawi,"China, Taiwan Province of",Japan,Nicaragua,Viet Nam,Turkey,Bolivia (Plurinational State of),Venezuela (Bolivarian Republic of),Romania,Mexico,Côte d'Ivoire,Croatia,Bulgaria,Myanmar,Ukraine,Liberia
1972,75420.0,0.0,1119.0,1119.0,0.0,15580.0,3065.0,0.0,,0.0,3.0,405.0,23120.0,152.0,14.0,3.0,0.0,144602.0,3662.0,,,4.0,9317.0,4860.0,56.0,2880.0,70.0,27000.0,,12700.0,,114.0,118.0,6.0,,0.0,0.0,900.0,95.0,5600.0,0.0,1200.0,378.0,700.0,,1388000.0,777000.0,0.0,37.0,225.0,,0.0,0.0,0.0,0.0,5.0,0.0,9.0,180.0,15.0,540.0,,0.0,10.0,280.0,779900.0,160.0,,45.0,0.0,41.0,504.0,0.0,0.0,2900.0,5000.0,0.0,945.0,507.0,140.0,0.0,31076.0,12476.0,0.0,,1149.0,1238.0,,200.0
1973,74700.0,0.0,1634.0,1634.0,0.0,14309.0,3291.0,0.0,,15.0,4.0,585.0,23400.0,156.0,35.0,2.0,0.0,205735.0,5729.0,,,4.0,20719.0,3900.0,56.0,4020.0,179.0,32000.0,,11300.0,,120.0,82.0,27.0,,0.0,200.0,3000.0,99.0,5600.0,0.0,2000.0,347.0,2100.0,,1655000.0,761670.0,0.0,68.0,345.0,,0.0,0.0,0.0,0.0,11.0,0.0,78.0,150.0,13.0,540.0,,0.0,20.0,336.0,764570.0,160.0,,45.0,0.0,51.0,686.0,0.0,0.0,2900.0,5000.0,0.0,980.0,350.0,400.0,0.0,40545.0,12005.0,0.0,,1630.0,1263.0,,200.0
1974,72990.0,0.0,1836.0,1836.0,0.0,13693.0,2954.0,0.0,,17.0,1.0,1080.0,23680.0,140.0,51.0,2.0,0.0,232980.0,6759.0,,,4.0,20323.0,5130.0,56.0,5580.0,477.0,33000.0,,10600.0,,120.0,161.0,10.0,,0.0,100.0,900.0,104.0,5600.0,0.0,4900.0,579.0,3780.0,,1527000.0,734160.0,0.0,53.0,480.0,,0.0,0.0,0.0,0.0,30.0,18.0,68.0,123.0,20.0,540.0,,0.0,10.0,336.0,737760.0,160.0,,45.0,0.0,82.0,1126.0,0.0,0.0,3600.0,6000.0,27.0,949.0,620.0,650.0,0.0,20536.0,13778.0,0.0,,2176.0,1313.0,,200.0
1975,68580.0,0.0,1053.0,1053.0,0.0,12374.0,2540.0,0.0,,0.0,0.0,990.0,24000.0,119.0,58.0,1.0,0.0,256655.0,7803.0,,,18.0,24338.0,7900.0,56.0,7500.0,581.0,32000.0,,10250.0,,126.0,321.0,20.0,,0.0,150.0,500.0,95.0,6160.0,0.0,4600.0,1252.0,3990.0,,1557000.0,701820.0,0.0,101.0,1000.0,,0.0,0.0,0.0,0.0,43.0,42.0,43.0,83.0,20.0,540.0,,0.0,10.0,448.0,705120.0,160.0,,81.0,0.0,111.0,1581.0,0.0,0.0,3300.0,6000.0,27.0,1379.0,640.0,850.0,0.0,26384.0,6895.0,44.0,,3382.0,1371.0,,225.0
1976,70740.0,0.0,1384.0,1384.0,0.0,12531.0,3830.0,0.0,,0.0,0.0,1125.0,24000.0,125.0,84.0,2.0,0.0,282811.0,10296.0,,,24.0,39050.0,3050.0,56.0,11700.0,860.0,29500.0,,14900.0,,126.0,626.0,5.0,,0.0,200.0,500.0,446.0,6160.0,0.0,3444.0,1279.0,2940.0,,1456000.0,717990.0,1.0,101.0,500.0,,0.0,0.0,0.0,0.0,39.0,78.0,61.0,138.0,20.0,540.0,,0.0,0.0,336.0,720790.0,160.0,,45.0,0.0,144.0,1798.0,0.0,0.0,2800.0,5000.0,24.0,1477.0,540.0,600.0,0.0,29002.0,12571.0,66.0,,4138.0,1487.0,,225.0
1977,73350.0,0.0,1996.0,1996.0,0.0,12347.0,4042.0,0.0,,0.0,0.0,1143.0,24000.0,190.0,154.0,2.0,0.0,311287.0,12249.0,,,24.0,66000.0,5100.0,56.0,18360.0,982.0,29780.0,,19100.0,,120.0,1555.0,4.0,,0.0,300.0,1000.0,410.0,6720.0,0.0,2908.0,1369.0,4690.0,,1660000.0,750120.0,1.0,168.0,1100.0,,0.0,0.0,0.0,0.0,35.0,96.0,116.0,75.0,10.0,600.0,,0.0,0.0,336.0,752520.0,80.0,,45.0,0.0,92.0,2773.0,0.0,0.0,2400.0,8000.0,24.0,1460.0,320.0,1400.0,0.0,34429.0,8661.0,110.0,,5952.0,1424.0,,230.0
1978,75420.0,0.0,2146.0,2146.0,0.0,10367.0,2717.0,0.0,,0.0,0.0,1170.0,24000.0,177.0,182.0,2.0,0.0,330244.0,16214.0,,,24.0,90200.0,5210.0,56.0,29760.0,1290.0,31220.0,,18700.0,,80.0,1898.0,1.0,,0.0,500.0,1000.0,410.0,7000.0,0.0,1892.0,1243.0,3850.0,,1850000.0,760095.0,2.0,221.0,2541.0,,3.0,0.0,0.0,0.0,32.0,120.0,73.0,127.0,8.0,600.0,,0.0,0.0,224.0,762095.0,60.0,,81.0,0.0,130.0,2829.0,0.0,0.0,2000.0,8000.0,24.0,1267.0,320.0,2000.0,0.0,51409.0,15680.0,165.0,,5761.0,1420.0,,235.0
1979,76860.0,0.0,2261.0,2261.0,0.0,9422.0,3153.0,0.0,,7.0,0.0,1274.0,24000.0,191.0,259.0,2.0,0.0,350961.0,21389.0,,,26.0,115500.0,6420.0,56.0,36480.0,1447.0,35000.0,,18600.0,,43.0,1564.0,3.0,,0.0,600.0,850.0,464.0,7560.0,0.0,324.0,692.0,2240.0,,2041000.0,757995.0,3.0,318.0,2022.0,,3.0,0.0,0.0,60.0,36.0,120.0,65.0,97.0,11.0,600.0,,0.0,10.0,224.0,759495.0,200.0,,54.0,0.0,193.0,3167.0,0.0,0.0,1500.0,8000.0,24.0,1712.0,300.0,2600.0,0.0,61794.0,6400.0,424.0,,5650.0,1357.0,,240.0
1980,77760.0,0.0,1584.0,1584.0,0.0,10086.0,3188.0,0.0,,40.0,0.0,990.0,24000.0,223.0,343.0,1.0,720.0,340047.0,17825.0,,,23.0,105875.0,7030.0,56.0,28500.0,1224.0,32000.0,,18700.0,,133.0,2068.0,6.0,,0.0,700.0,550.0,473.0,8400.0,4.0,2247.0,1903.0,3303.0,,1823000.0,841575.0,3.0,175.0,1700.0,,3.0,0.0,0.0,90.0,40.0,120.0,133.0,120.0,23.0,600.0,,0.0,20.0,280.0,842775.0,120.0,,45.0,0.0,185.0,2398.0,0.0,0.0,1200.0,9000.0,60.0,2604.0,1700.0,2400.0,0.0,52631.0,15178.0,217.0,,5636.0,1538.0,,250.0
1981,78840.0,0.0,1621.0,1621.0,0.0,9155.0,3111.0,0.0,,14.0,0.0,990.0,24800.0,224.0,371.0,1.0,720.0,328131.0,22599.0,,,21.0,112200.0,3560.0,56.0,46200.0,1237.0,34512.0,,25000.0,,78.0,2694.0,0.0,,0.0,700.0,300.0,486.0,9800.0,4.0,2519.0,3096.0,3827.0,,1769000.0,883050.0,3.0,160.0,1040.0,,6.0,0.0,0.0,120.0,41.0,120.0,1043.0,21.0,5.0,600.0,,0.0,200.0,336.0,883950.0,120.0,,45.0,0.0,178.0,3325.0,0.0,0.0,900.0,9000.0,92.0,3609.0,2439.0,3400.0,0.0,45732.0,16497.0,105.0,,4125.0,1686.0,,250.0
1982,75780.0,0.0,1931.0,1931.0,0.0,9104.0,4034.0,0.0,,14.0,0.0,1350.0,25200.0,191.0,347.0,1.0,600.0,325484.0,25956.0,,,20.0,129910.0,3950.0,56.0,50160.0,583.0,34000.0,,24500.0,,24.0,2745.0,4.0,,0.0,800.0,100.0,252.0,5600.0,4.0,2731.0,4289.0,3541.0,,1700000.0,793758.0,2.0,140.0,443.0,,8.0,40.0,0.0,210.0,33.0,120.0,878.0,45.0,10.0,600.0,,0.0,1800.0,336.0,794358.0,200.0,,45.0,0.0,178.0,3535.0,0.0,0.0,600.0,9000.0,152.0,3385.0,2425.0,2300.0,0.0,46670.0,16639.0,110.0,,3855.0,1737.0,,250.0
1983,69480.0,20.0,1923.0,1923.0,0.0,9505.0,5010.0,0.0,,0.0,0.0,1575.0,25600.0,207.0,658.0,1.0,600.0,376848.0,28746.0,,,17.0,160600.0,4900.0,56.0,74562.0,1645.0,34000.0,,27000.0,,2.0,2363.0,0.0,,0.0,1000.0,300.0,257.0,5600.0,4.0,3316.0,4575.0,4760.0,,1810000.0,765030.0,2.0,59.0,414.0,,11.0,120.0,0.0,260.0,29.0,114.0,709.0,30.0,6.0,678.0,,0.0,2800.0,616.0,765430.0,200.0,,0.0,0.0,188.0,3386.0,0.0,0.0,400.0,9000.0,184.0,3168.0,2800.0,3300.0,0.0,49689.0,17011.0,110.0,,4300.0,1709.0,,250.0
1984,66420.0,34.0,2522.0,2522.0,0.0,7798.0,6097.0,0.0,,28.0,0.0,1035.0,26400.0,128.0,689.0,2.0,600.0,406136.0,32346.0,,,14.0,181500.0,4555.0,56.0,80382.0,2010.0,44000.0,,27200.0,,30.0,2250.0,1.0,,0.0,2000.0,300.0,225.0,5740.0,4.0,3482.0,4049.0,4620.0,,1686000.0,810390.0,2.0,69.0,741.0,,13.0,200.0,0.0,210.0,31.0,126.0,147.0,54.0,13.0,828.0,,0.0,6600.0,560.0,810790.0,400.0,,0.0,0.0,245.0,2608.0,72.0,0.0,400.0,8000.0,244.0,3570.0,6026.0,4236.0,0.0,54196.0,20193.0,55.0,,4259.0,1772.0,,250.0
1985,67050.0,41.0,2840.0,2840.0,0.0,6674.0,7195.0,0.0,,15.0,0.0,1350.0,26720.0,138.0,970.0,3.0,720.0,367385.0,24269.0,,,14.0,183700.0,4900.0,56.0,91608.0,2280.0,34000.0,,25900.0,,27.0,2075.0,1.0,,0.0,3000.0,200.0,419.0,5880.0,4.0,2761.0,3826.0,4200.0,,1648626.0,871080.0,2.0,95.0,1005.0,,15.0,200.0,0.0,180.0,25.0,132.0,241.0,44.0,15.0,918.0,,0.0,17673.0,680.0,871680.0,280.0,,0.0,0.0,194.0,2532.0,131.0,0.0,600.0,8000.0,260.0,3728.0,9000.0,3703.0,34.0,52632.0,16203.0,55.0,,3074.0,1768.0,,250.0
1986,70470.0,12.0,2177.0,2177.0,0.0,7690.0,9042.0,0.0,,0.0,0.0,1485.0,27200.0,197.0,1180.0,3.0,600.0,366501.0,30308.0,,,14.0,203500.0,7060.0,56.0,92556.0,4704.0,47000.0,,30900.0,,26.0,2136.0,1.0,,95.0,5000.0,200.0,486.0,9072.0,4.0,2643.0,4200.0,2088.0,,1578082.0,886718.0,2.0,201.0,1825.0,,18.0,480.0,0.0,150.0,29.0,132.0,210.0,118.0,15.0,1122.0,,0.0,36041.0,560.0,887318.0,440.0,,0.0,0.0,235.0,3668.0,95.0,0.0,600.0,8000.0,291.0,4130.0,11200.0,4235.0,41.0,60962.0,19923.0,88.0,,2143.0,1894.0,,250.0
1987,68400.0,18.0,1738.0,1738.0,0.0,7271.0,10031.0,0.0,,0.0,0.0,1800.0,27200.0,236.0,1463.0,5.0,1320.0,423991.0,34448.0,,,14.0,242715.0,5830.0,56.0,104046.0,5185.0,44000.0,,35800.0,,40.0,2212.0,1.0,,113.0,5000.0,300.0,486.0,12376.0,5.0,3739.0,4409.0,3449.0,,1499700.0,852600.0,2.0,142.0,2115.0,,24.0,520.0,230.0,118.0,20.0,138.0,110.0,135.0,15.0,1242.0,,0.0,31120.0,952.0,853100.0,480.0,,0.0,0.0,225.0,3840.0,122.0,0.0,500.0,8000.0,420.0,3605.0,6600.0,5284.0,357.0,70312.0,6196.0,110.0,,1421.0,2074.0,,250.0
1988,74711.0,12.0,2828.0,2828.0,0.0,7868.0,12836.0,0.0,,17.0,0.0,1980.0,27200.0,241.0,1493.0,2.0,1680.0,489438.0,38309.0,,,40.0,256850.0,5510.0,56.0,135180.0,4616.0,50000.0,,36300.0,,83.0,1746.0,1.0,,154.0,7000.0,1300.0,549.0,21000.0,5.0,7364.0,3516.0,4410.0,,1624000.0,846017.0,2.0,50.0,2750.0,,30.0,464.0,200.0,120.0,18.0,144.0,87.0,115.0,15.0,1242.0,,0.0,32000.0,988.0,846517.0,520.0,,0.0,0.0,228.0,4242.0,117.0,0.0,500.0,9000.0,392.0,3507.0,7530.0,7560.0,568.0,87074.0,20312.0,165.0,,1290.0,2067.0,,250.0
1989,74124.0,60.0,1970.0,1970.0,0.0,7613.0,10629.0,3.0,,17.0,0.0,2745.0,29120.0,204.0,2087.0,3.0,1200.0,463388.0,40496.0,,,40.0,280500.0,8334.0,57.0,153852.0,5242.0,51000.0,,36290.0,,135.0,1863.0,0.0,,270.0,6000.0,2100.0,599.0,20412.0,6.0,5355.0,3731.0,4774.0,,1544000.0,793758.0,2.0,31.0,1425.0,,35.0,644.0,380.0,136.0,15.0,156.0,239.0,167.0,13.0,1240.0,,0.0,35000.0,2084.0,794258.0,600.0,,0.0,0.0,672.0,3744.0,140.0,0.0,500.0,8000.0,280.0,3850.0,7400.0,9056.0,182.0,32339.0,11870.0,282.0,,1009.0,2011.0,,200.0
1990,72720.0,10.0,1595.0,1595.0,0.0,5953.0,8702.0,7.0,,166.0,0.0,3915.0,28160.0,244.0,2044.0,5.0,497.0,386705.0,24870.0,,,40.0,273163.0,10453.0,42.0,191088.0,5315.0,55000.0,,40200.0,,134.0,1904.0,0.0,,451.0,4000.0,1300.0,653.0,13104.0,5.0,4209.0,2915.0,4410.0,,1581000.0,739305.0,3.0,22.0,450.0,,41.0,690.0,600.0,168.0,11.0,120.0,123.0,170.0,15.0,1281.0,,0.0,26000.0,3024.0,739605.0,560.0,,0.0,0.0,625.0,4320.0,95.0,0.0,300.0,8000.0,241.0,3539.0,4950.0,10036.0,358.0,18352.0,13930.0,384.0,,633.0,1959.0,,128.0
1991,72720.0,24.0,1184.0,1184.0,6.0,5232.0,9174.0,1.0,,343.0,0.0,3735.0,24800.0,245.0,1595.0,4.0,388.0,378545.0,28204.0,,,28.0,275220.0,9054.0,61.0,227340.0,5558.0,71000.0,,43300.0,,136.0,983.0,0.0,,464.0,2000.0,1900.0,675.0,14364.0,6.0,13782.0,2915.0,4200.0,,1497000.0,758205.0,2.0,33.0,440.0,,46.0,744.0,2100.0,199.0,12.0,150.0,82.0,142.0,12.0,1181.0,,0.0,23000.0,3304.0,758505.0,640.0,,0.0,0.0,1050.0,3600.0,104.0,0.0,300.0,7000.0,126.0,3406.0,4600.0,13300.0,47.0,28148.0,13076.0,456.0,,1266.0,2068.0,,141.0
1992,,27.0,1210.0,1210.0,6.0,5841.0,10400.0,6.0,,262.0,0.0,2070.0,25280.0,220.0,1390.0,4.0,101.0,426168.0,28575.0,,7.0,28.0,292581.0,4050.0,76.0,262230.0,5301.0,62000.0,700.0,50400.0,56000.0,136.0,825.0,0.0,15.0,464.0,3000.0,149.0,765.0,15204.0,7.0,11717.0,,5065.0,1000.0,1742000.0,992681.0,3.0,31.0,500.0,180.0,53.0,619.0,4325.0,229.0,13.0,162.0,53.0,154.0,13.0,1213.0,,0.0,24000.0,3640.0,992981.0,652.0,2234.0,0.0,46.0,450.0,3600.0,99.0,0.0,300.0,5000.0,245.0,4204.0,2675.0,15360.0,174.0,12768.0,9656.0,542.0,857.0,1246.0,2293.0,5600.0,250.0
1993,,12.0,1625.0,1625.0,7.0,6086.0,10896.0,4.0,74.0,257.0,0.0,2475.0,25600.0,251.0,1781.0,3.0,20.0,461784.0,31235.0,,2.0,32.0,319962.0,4500.0,35.0,259080.0,5245.0,67000.0,400.0,55200.0,52000.0,,1050.0,0.0,20.0,,5000.0,500.0,810.0,16604.0,9.0,11365.0,,7280.0,900.0,1823000.0,968289.0,2.0,49.0,550.0,120.0,55.0,503.0,3730.0,228.0,12.0,156.0,58.0,157.0,13.0,1149.0,28.0,0.0,21000.0,3808.0,968789.0,880.0,1985.0,0.0,280.0,200.0,3600.0,77.0,0.0,500.0,9000.0,327.0,4620.0,2900.0,14635.0,111.0,10960.0,11969.0,337.0,817.0,564.0,2766.0,3500.0,271.0
1994,,12.0,711.0,711.0,7.0,5265.0,7525.0,5.0,76.0,268.0,0.0,2925.0,24800.0,232.0,1516.0,2.0,16.0,468116.0,33098.0,,2.0,36.0,330618.0,2700.0,46.0,302100.0,5695.0,60000.0,300.0,55600.0,44000.0,,1172.0,0.0,30.0,,5000.0,300.0,1004.0,17276.0,8.0,6167.0,,4060.0,720.0,1960000.0,853335.0,3.0,71.0,425.0,60.0,55.0,528.0,1094.0,263.0,12.0,150.0,142.0,132.0,14.0,1293.0,22.0,0.0,20000.0,4032.0,854435.0,660.0,2085.0,0.0,200.0,197.0,4800.0,72.0,0.0,1100.0,3000.0,371.0,4239.0,3100.0,22150.0,90.0,12473.0,6032.0,264.0,601.0,907.0,3642.0,2000.0,281.0
1995,,10.0,952.0,952.0,6.0,4899.0,6784.0,5.0,93.0,157.0,0.0,3060.0,24800.0,143.0,1783.0,2.0,21.0,413928.0,37485.0,,1.0,36.0,330119.0,2700.0,62.0,313980.0,5376.0,59000.0,300.0,59000.0,40000.0,,685.0,0.0,20.0,,5000.0,600.0,1111.0,14056.0,9.0,9300.0,,3640.0,550.0,1959000.0,784427.0,3.0,279.0,380.0,128.0,57.0,630.0,1065.0,272.0,6.0,144.0,64.0,167.0,14.0,1246.0,17.0,0.0,23000.0,4256.0,785427.0,670.0,2910.0,0.0,200.0,170.0,4020.0,81.0,0.0,1000.0,3000.0,393.0,3861.0,2050.0,29983.0,120.0,13631.0,2220.0,275.0,657.0,1014.0,4296.0,1300.0,229.0
1996,,40.0,1560.0,1560.0,7.0,4993.0,6191.0,21.0,74.0,275.0,0.0,3195.0,24400.0,125.0,1209.0,3.0,21.0,460324.0,42284.0,,1.0,36.0,366823.0,2400.0,38.0,359412.0,3885.0,51000.0,200.0,71400.0,40000.0,,596.0,0.0,20.0,,6000.0,500.0,688.0,15204.0,10.0,1272.0,,5250.0,480.0,2259000.0,876330.0,2.0,385.0,375.0,162.0,60.0,700.0,1217.0,312.0,5.0,150.0,37.0,132.0,13.0,1259.0,11.0,0.0,31000.0,4256.0,877530.0,1310.0,2441.0,0.0,200.0,344.0,4200.0,86.0,0.0,1200.0,4000.0,544.0,3724.0,1900.0,37059.0,124.0,10727.0,6607.0,330.0,641.0,376.0,4112.0,1100.0,249.0
